cde_id	source	source_file	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	amp_units	parked
524	AMP-PD	MDS_UPDRS_Part_IV_dictionary.csv	upd2406_painful_off_state_dystonia	4.06 MDS-UPDRS - Painful Off-State Dystonia (UPD2406)	Normal | Slight | Mild | Moderate | Severe			false
525	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2da_dyskinesias_during_exam	3.19 MDS-UPDRS - Dyskinesias During Exam (UPD2DA)	No | Yes			false
526	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2db_movements_interfere_with_ratings	3.20 MDS-UPDRS - Movements Interfere with Ratings (UPD2DB)	No | Yes			false
527	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	upd2hy_hoehn_and_yahr_stage	3.21 MDS-UPDRS - Hoehn And Yahr Stage (UPD2HY)	Stage 0 | Stage 1 | Stage 1.5 | Stage 2 | Stage 2.5 | Stage 3 | Stage 4 | Stage 5			false
528	AMP-PD	UPDRS_dictionary.csv	updrs1_ment_behav_mood_score	UPDRS - Mentation, Behavior and Mood Sub-total (UPD145)	0 - 16			false
530	AMP-PD	UPDRS_dictionary.csv	updrs2_adl_score	UPDRS - Activities of Daily Living Sub-total (UPD146)	0 - 52			false
532	AMP-PD	UPDRS_dictionary.csv	updrs3_motor_examination_score	UPDRS - Motor Examination Sub-total (UPD147)	0 - 108			false
533	AMP-PD	UPDRS_dictionary.csv	updrs4_therapy_complications_score	UPDRS - Complications of Therapy: Sub-total	0 - 30			false
534	AMP-PD	UPSIT_dictionary.csv	upsit_performed	UPSIT Performed Indicator	Completed | Not completed | Partially completed			false
535	AMP-PD	UPSIT_dictionary.csv	upsit_total_score	UPSIT Total Score	0 - 40			false
536	AMP-PD	PD_Medical_History_dictionary.csv	use_of_pd_medication	Is Subject On Medication For PD?	No | Yes | Unknown			false
537	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	vis_halluc	Recurrent visual hallucinations	Yes | No | NA			false
538	AMP-PD	Caffeine_history_dictionary.csv; DTI_dictionary.csv; DaTSCAN_SBR_dictionary.csv; DaTSCAN_visual_interpretation_dictionary.csv; Demographics_dictionary.csv; Enrollment_dictionary.csv; Epworth_Sleepiness_Scale_dictionary.csv; Family_History_PD_dictionary.csv; LBD_Cohort_Clinical_Data_dictionary.csv; LBD_Cohort_Path_Data_dictionary.csv; MDS_UPDRS_Part_III_dictionary.csv; MDS_UPDRS_Part_II_dictionary.csv; MDS_UPDRS_Part_IV_dictionary.csv; MDS_UPDRS_Part_I_dictionary.csv; MMSE_dictionary.csv; MOCA_dictionary.csv; MRI_dictionary.csv; Modified_Schwab___England_ADL_dictionary.csv; PDQ_39_dictionary.csv; PD_Medical_History_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv; Smoking_and_alcohol_history_dictionary.csv; UPDRS_dictionary.csv; UPSIT_dictionary.csv	visit_month	Numeric visit in months; for visits prior baseline -1, -2 is an order of screening visits				false
539	AMP-PD	Caffeine_history_dictionary.csv; DTI_dictionary.csv; DaTSCAN_SBR_dictionary.csv; DaTSCAN_visual_interpretation_dictionary.csv; Demographics_dictionary.csv; Enrollment_dictionary.csv; Epworth_Sleepiness_Scale_dictionary.csv; Family_History_PD_dictionary.csv; LBD_Cohort_Clinical_Data_dictionary.csv; LBD_Cohort_Path_Data_dictionary.csv; MDS_UPDRS_Part_III_dictionary.csv; MDS_UPDRS_Part_II_dictionary.csv; MDS_UPDRS_Part_IV_dictionary.csv; MDS_UPDRS_Part_I_dictionary.csv; MMSE_dictionary.csv; MOCA_dictionary.csv; MRI_dictionary.csv; Modified_Schwab___England_ADL_dictionary.csv; PDQ_39_dictionary.csv; PD_Medical_History_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv; Smoking_and_alcohol_history_dictionary.csv; UPDRS_dictionary.csv; UPSIT_dictionary.csv	visit_name	Visit name: M - in months, SC - screening visit, LOG - records without visit; #2 or #3 define repated records at the same visit or repeated visit				false
542	AMP-RA-SLE	ROSMAP_clinical_codebook.pdf	age_at_visit	Age of participant at time of clinical visit	Continuous		years	false
546	AMP-RA-SLE	PD_Medical_History_dictionary.csv	diagnosis	The diagnosis is an opportunity for the site investigator to give their opinion on a participant's most likely clinical diagnosis, regardless of cohort. The diagnosis may change over time because the site investigator may update the diagnosis at every longitudinal visit based on their opinion.ś	At-Risk RA | Not Applicable | OA | RA | SLE | Sjogren's disease | control | cutaneous lupus erythematosus | dermatomyositis | discoid lupus erythematosus | lupus nephritis | psoriasis | psoriatic arthritis | scleroderma | unknown | vitiligo	2026-07-14: value set set to ARK's own 16, verbatim from ark.ClinicalMetadataTemplate. It previously held an ABBREVIATED, lossy variant (CLE/LN/PsA/PsO/SjD) that dropped Not Applicable, discoid lupus erythematosus and unknown.		false
547	AMP-RA-SLE	Demographics_dictionary.csv	ethnicity	Ethnicity	Not Hispanic or Latino | Hispanic or Latino | Unknown			false
548	AMP-RA-SLE	Caffeine_history_dictionary.csv; DTI_dictionary.csv; DaTSCAN_SBR_dictionary.csv; DaTSCAN_visual_interpretation_dictionary.csv; Demographics_dictionary.csv; Enrollment_dictionary.csv; Epworth_Sleepiness_Scale_dictionary.csv; Family_History_PD_dictionary.csv; LBD_Cohort_Clinical_Data_dictionary.csv; LBD_Cohort_Path_Data_dictionary.csv; MDS_UPDRS_Part_III_dictionary.csv; MDS_UPDRS_Part_II_dictionary.csv; MDS_UPDRS_Part_IV_dictionary.csv; MDS_UPDRS_Part_I_dictionary.csv; MMSE_dictionary.csv; MOCA_dictionary.csv; MRI_dictionary.csv; Modified_Schwab___England_ADL_dictionary.csv; PDQ_39_dictionary.csv; PD_Medical_History_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv; Smoking_and_alcohol_history_dictionary.csv; UPDRS_dictionary.csv; UPSIT_dictionary.csv	GUID	Global Unique ID (USUBJID)				false
550	AMP-RA-SLE	DiverseCohorts_DataDictionary.pdf; DiverseCohorts_DataDictionary_ExtNeuropath.pdf	individualID	Unique identifier assigned to each study participant. For multi-specimen data files provide all IDs in a comma-separated list.	Identifier			false
554	AMP-RA-SLE	Demographics_dictionary.csv; DiverseCohorts_DataDictionary.pdf	race	Race	White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial			false
555	AMP-RA-SLE	Demographics_dictionary.csv; DiverseCohorts_DataDictionary.pdf	sex	Sex	Male;Female;Unknown			false
2	AMP-AD		age_at_diagnosis_pd	Age At Parkinson's Disease Diagnosis				true
4	AMP-AD		age_at_visit_max	Maximum age of participant across all study visits	Non-negative numeric value in years		years	true
7	AMP-AD		ageUnits	The unit of measure used for `ageEnrollment` and `ageDiagnosis`	years | months			true
18	AMP-AD		clinicalMetadataSource	Source system or repository from which clinical metadata was derived	Free text or controlled vocabulary of metadata sources			true
21	AMP-AD		cts_mmse30_first_ad_dx	Mini-Mental State Examination (MMSE-30) score at first Alzheimer's disease diagnosis	0-30			true
22	AMP-AD		cts_mmse30_lv	Mini-Mental State Examination (MMSE-30) total score at last visit	0-30			true
23	AMP-AD		dataContributionGroup					true
25	AMP-AD		dcfdx_lv	Lewy Body Variant Diagnostic Indicator	Categorical values indicating presence or classification of Lewy body variant pathology			true
26	AMP-AD		derivedOutcomeBasedOnMayoDx	Derived clinical outcome classification based on Mayo Clinic diagnostic criteria	Categorical values determined by Mayo diagnostic algorithm			true
30	AMP-AD		exclude	Flag indicating whether data should be excluded from analysis	True | False | 1 | 0			true
31	AMP-AD		excludeReason	Reason for exclusion from study or analysis	Text or enumerated value describing exclusion criteria			true
32	AMP-AD		fastingState	Indicates whether the subject was in a fasting state at the time of specimen collection or clinical assessment	Fasted | Non-Fasted | Unknown			true
36	AMP-AD		isPostMortem	Indicator of whether the data or sample was collected post-mortem	True | False			true
39	AMP-AD		organ	Organ or tissue type from which biospecimen was collected	Brain | Heart | Liver | Kidney | Lung | Spleen | Blood | CSF | Other			true
42	AMP-AD		projid	Project Identifier	String			true
44	AMP-AD		reag					true
45	AMP-AD		sampleStatus	Current status or condition of the biological sample	Available | Depleted | Quarantined | In Use | Pending QC | Failed QC			true
46	AMP-AD		samplingAge	Age of participant at time of sample collection	Age in years, non-negative numeric value		years	true
47	AMP-AD		samplingAgeUnits	Unit of time measurement for the age at which the biological sample was collected	years | months | days | weeks			true
48	AMP-AD		samplingDate	Date when biological sample was collected	ISO 8601 format (YYYY-MM-DD)			true
50	AMP-AD		specimenIdSource	Source system or organization that assigned the specimen identifier	Free text			true
51	AMP-AD		specimenMetadataSource	Source system or database from which specimen metadata was obtained	Free text or enumerated source identifiers			true
52	AMP-AD		Study	Identifier of the research study or cohort from which the data was collected	Free text or controlled vocabulary of study names			true
53	AMP-AD	Enrollment_dictionary.csv	study_arm	Cohort (PD, healthy control, subjects with Scans Without Evidence of Dopaminergic Deficit [SWEDD], Prodromal, Genetic Cohort PD, or Genetic Cohort Unaffected) determined by the inclusion/exclusion criteria established in the study protocol. A given participant's cohort does not change over time, even if the participant develops or is later found to have characteristics of another cohort .				true
54	AMP-AD		tissue	Tissue the biosample is a component of	adipose tissue | liver tissue | muscle tissue | pancreatic tissue | kidney tissue | other			true
55	AMP-AD		tissueVolume	Volume of tissue sample measured			mm^3	true
56	AMP-AD		tissueWeight	Weight of tissue sample collected	Positive numeric value, typically in grams or milligrams			true
58	AMP-AD		visitNumber	Sequential number assigned to each study visit	Positive integers starting from 1			true
60	AMP-CMD		Age	Age at which subject was enrolled in study or age at corresponding visit and data collection event.	Range: 0-120 years			true
61	AMP-CMD		age.range	Age Range	Categorical age groups (e.g., 18-30, 31-45, 46-60, 61-75, 76+)			true
62	AMP-CMD		age__unit__ontology_label	Ontology label for the unit of measurement used to express age	year | month | week | day			true
64	AMP-CMD		Age_binned	Age categorized into predefined bins or ranges	Categorical bins (e.g., <40, 40-49, 50-59, 60-69, 70+)			true
65	AMP-CMD		ageUnits	The unit of measure used for `ageEnrollment` and `ageDiagnosis`	years | months			true
66	AMP-CMD		ancestry	Genetic ancestry or ancestral background of the participant	Free text or standardized ancestry categories (e.g., European, African, East Asian, South Asian, Hispanic/Latino, Native American, Middle Eastern, Mixed)			true
67	AMP-CMD		ancestry__ontology_id	Ontology identifier for participant ancestry	Ontology term ID (e.g., HANCESTRO:0008, HANCESTRO:0014)			true
68	AMP-CMD		ancestry__ontology_label	Standardized ontology term label for participant ancestry	Ontology-based controlled vocabulary (e.g., HANCESTRO)			true
69	AMP-CMD		Ballooning	Hepatocyte ballooning assessment score	0=None; 1=Few balloon cells; 2=Many cells/prominent ballooning			true
71	AMP-CMD		BMI	Body Mass Index	Range: 10-100 kg/m²			true
72	AMP-CMD		bmi.range	Body Mass Index Range Category	Underweight (<18.5) | Normal weight (18.5-24.9) | Overweight (25-29.9) | Obese Class I (30-34.9) | Obese Class II (35-39.9) | Obese Class III (>=40)			true
73	AMP-CMD		bmi__unit__ontology_label	Ontology label for the unit of measurement used for Body Mass Index	Standardized ontology term (e.g., kg/m^2, kilograms per square meter)			true
75	AMP-CMD		compartment	Anatomical or cellular compartment where measurement or sample was obtained	plasma | serum | whole blood | intracellular | extracellular | tissue | cell lysate | subcellular fraction			true
77	AMP-CMD		development_stage	Developmental or life stage of the subject at time of assessment	Enumerated values: embryonic, fetal, neonatal, infant, child, adolescent, adult, elderly			true
78	AMP-CMD		development_stage_ontology_term_id	Ontology term identifier for developmental stage	Ontology term ID (e.g., HsapDv:0000087, UBERON:0000113)			true
79	AMP-CMD		diabetes_history	History of diabetes mellitus diagnosis and treatment	Free text or structured data describing diabetes history including type, duration, treatment, and complications			true
82	AMP-CMD		disease	Disease or condition diagnosis	Controlled vocabulary of metabolic disease classifications			true
83	AMP-CMD		disease__ontology_id	Disease Ontology Identifier	Ontology identifier (e.g., MONDO, DOID, SNOMED CT)			true
84	AMP-CMD		disease__ontology_label	Standardized disease term from ontology	Ontology-based disease label			true
85	AMP-CMD		disease_category	Classification of metabolic disease type	Categorical values representing major metabolic disease classifications			true
86	AMP-CMD		disease_ontology_term_id	Disease Ontology standardized identifier	Ontology term identifier (e.g., DOID:####)			true
87	AMP-CMD		disease_status	Classification of the participant's current disease state or condition status	Controlled vocabulary: Active | Remission | Progression | Stable | Resolved | Unknown			true
88	AMP-CMD		diseasetype	Classification or category of metabolic disease	Enumerated list of metabolic disease types (e.g., Type 2 Diabetes, NAFLD, Obesity, Metabolic Syndrome)			true
89	AMP-CMD		donor_id	Donor Identifier	String			true
90	AMP-CMD		eGFR	Estimated Glomerular Filtration Rate	Range: 0-200 mL/min/1.73m²			true
92	AMP-CMD		ethnicity__ontology_id	Standardized ontology identifier for participant ethnicity	Ontology identifiers (e.g., HANCESTRO, NCIT, MONDO codes)			true
93	AMP-CMD		ethnicity__ontology_label	Ontology-based standardized label for participant ethnicity	Standard ontology terms (e.g., HANCESTRO, OMRSE)			true
94	AMP-CMD		Fat.distribution	Body fat distribution	Abdominal/Central | Peripheral | Generalized | Normal			true
95	AMP-CMD		Fibrosis.stage	Histological stage of liver fibrosis	F0 (No fibrosis) | F1 (Portal fibrosis) | F2 (Periportal fibrosis) | F3 (Bridging fibrosis) | F4 (Cirrhosis)			true
97	AMP-CMD		height	Standing height of subject.				true
98	AMP-CMD		Hepatocyte.necrosis	Presence or severity of hepatocyte necrosis observed in liver tissue	Absent;Minimal;Mild;Moderate;Severe			true
99	AMP-CMD		hypertension	Indicator of hypertension diagnosis or presence of high blood pressure	True, False, Yes, No, 1, 0			true
100	AMP-CMD		ID	Unique identifier assigned to each study participant	Must be unique across all participants			true
101	AMP-CMD		is_primary_data	Indicator of whether the data represents primary source data	true, false			true
102	AMP-CMD		Lobular.inflammation	Assessment of inflammatory infiltrate within hepatic lobules	0=None, 1=Minimal, 2=Mild, 3=Moderate, 4=Severe			true
104	AMP-CMD		modality	Type or method of clinical assessment, diagnostic procedure, or imaging technique used	Free text or controlled vocabulary (e.g., MRI, CT, Ultrasound, Clinical Examination, Laboratory Test, Questionnaire)			true
105	AMP-CMD		observation_joinid	Observation Join Identifier	Unique identifier			true
106	AMP-CMD		organ__ontology_label	Organ Ontology Label	Text value from standardized ontology			true
107	AMP-CMD		organism	Organism that biosample originated from. Organism meta-data record must already exist in CMDGA	Homo sapiens | Mus musculus | Rattus norvegicus			true
108	AMP-CMD		phase	Study phase or disease phase indicator	String			true
109	AMP-CMD		Portal.inflammation	Measurement or assessment of inflammation in portal region	Numeric value or scale score			true
111	AMP-CMD		region	Anatomical or geographical region associated with the observation or sample	Free text or controlled vocabulary			true
112	AMP-CMD		sample	Biological sample identifier	String			true
113	AMP-CMD		sample_id	Sample Identifier	String			true
114	AMP-CMD		sample_type	Type of biospecimen used for analysis, e.g. CSF, Plasma, Serum, Blood, RNA	CSF, Plasma, RNA, Serum			true
115	AMP-CMD		self_reported_ethnicity_ontology_term_id	Ontology term identifier for participant's self-reported ethnicity	Ontology term ID (e.g., HANCESTRO, NCIT, or other standardized ethnicity ontology)			true
117	AMP-CMD		sex_ontology_term_id	Ontology term identifier for biological sex	Valid ontology term ID (e.g., PATO:0000383 for female, PATO:0000384 for male)			true
118	AMP-CMD		species	Species of organism	Homo sapiens | Mus musculus | Rattus norvegicus			true
119	AMP-CMD		Steatosis.grade	Histological grade of hepatic steatosis	0-3 (0=<5% hepatocytes affected, 1=5-33%, 2=34-66%, 3=>66%)			true
120	AMP-CMD	Enrollment_dictionary.csv	study_arm	Cohort (PD, healthy control, subjects with Scans Without Evidence of Dopaminergic Deficit [SWEDD], Prodromal, Genetic Cohort PD, or Genetic Cohort Unaffected) determined by the inclusion/exclusion criteria established in the study protocol. A given participant's cohort does not change over time, even if the participant develops or is later found to have characteristics of another cohort .				true
121	AMP-CMD		tissue	Tissue the biosample is a component of	Enumerated: adipose tissue, liver tissue, muscle tissue, pancreatic tissue, kidney tissue, other			true
122	AMP-CMD		tissue__ontology_label	Tissue Ontology Label	Ontology-based standardized tissue type label			true
123	AMP-CMD		tissue_type	Type of tissue collected or analyzed	Enumeration: adipose tissue, liver tissue, skeletal muscle, pancreatic tissue, blood vessel, kidney tissue, heart tissue, brain tissue, skin, other			true
125	AMP-PD		age_at_diagnosis_pd	Age At Parkinson's Disease Diagnosis				true
146	AMP-PD		case_control_other_at_baseline	Case-Control-Other Status at Baseline	Case, Control, Other			true
156	AMP-PD		diagnosis_at_baseline	Diagnosis at Baseline	Controlled vocabulary of diagnoses; specific values depend on disease area			true
159	AMP-PD	DTI_dictionary.csv	dti_measure	Brain tissue being measured				true
179	AMP-PD	PD_Medical_History_dictionary.csv	initial_diagnosis	Initial Diagnosis				true
248	AMP-PD	Modified_Schwab___England_ADL_dictionary.csv	mod_schwab_england_on_off_med	Clinical State On Medication				true
251	AMP-PD	PD_Medical_History_dictionary.csv	most_recent_diagnosis	Most recent diagnosis				true
337	AMP-PD	Enrollment_dictionary.csv	prodromal_category	At-risk for PD individuals having the same diagnosis as healthy controls with enrollment criterion hyposmia or REM Sleep Behavior Disorder. The rest are Unknown/Not collected as enrollment criterion				true
373	AMP-PD		sample_type	Type of biospecimen used for analysis, e.g. CSF, Plasma, Serum, Blood, RNA	CSF, Plasma, RNA, Serum			true
390	AMP-PD	Enrollment_dictionary.csv	study_arm	Cohort (PD, healthy control, subjects with Scans Without Evidence of Dopaminergic Deficit [SWEDD], Prodromal, Genetic Cohort PD, or Genetic Cohort Unaffected) determined by the inclusion/exclusion criteria established in the study protocol. A given participant's cohort does not change over time, even if the participant develops or is later found to have characteristics of another cohort .				true
391	AMP-PD	PD_Medical_History_dictionary.csv	surgery_for_parkinson_disease	Type Of Surgery For Parkinson Disease				true
392	AMP-PD		test_name	Name of the biospecimen test	Abeta, Tau, beta-glucocerebrosidase, p-Tau			true
393	AMP-PD		test_units	Biospecimen test units of measure	%CV, Average (pmol/min/mL), Ct Avg, RFU, Stdev, mg/mL, ng/mL, pg/mL, ug/mL			true
394	AMP-PD		test_value	Biospecimen test result (numeric)	-10-713, 0-22, 1-3710, 49-354600			true
398	AMP-PD	Smoking_and_alcohol_history_dictionary.csv	tobacco_product_type	Type of tobacco product that has been used				true
529	AMP-PD	UPDRS_dictionary.csv	updrs1_on_medication	UPDRS Part 1 - Clinical State On Medication				true
531	AMP-PD	UPDRS_dictionary.csv	updrs2_on_medication	UPDRS Part 2 - Clinical State On Medication				true
540	AMP-PD (consolidated UPD143 + UPD2HY)		mds_updrs_hoehn_yahr_stage	Hoehn and Yahr Stage — consolidated across original UPDRS (UPD143) and MDS-UPDRS (UPD2HY) since the Modified H&Y scale is version-independent.	0 | 1 | 1.5 | 2 | 2.5 | 3 | 4 | 5			true
541	AMP-RA-SLE		age	Age at which subject was enrolled in study or age at corresponding visit and data collection event.	Range: 0-120 years			true
543	AMP-RA-SLE		ageUnits	The unit of measure used for `ageEnrollment` and `ageDiagnosis`	years | months			true
544	AMP-RA-SLE		CDASI	Cutaneous Dermatomyositis Disease Area and Severity Index, is a measurement used to characterize cutaneous dermatomyositis severity.	Range: 0-100			true
545	AMP-RA-SLE		comorbidities	Any diseases or medical condition that is simultaneously present in addition to `diagnosis`.	diabetes | cardiovascular disease | pulmonary disease | autoimmune thyroid disease | inflammatory bowel disease | psoriasis | multiple sclerosis | systemic lupus erythematosus | rheumatoid arthritis | psoriatic arthritis | Hashimoto's Thyroiditis | other			true
549	AMP-RA-SLE		height	Standing height of subject.				true
551	AMP-RA-SLE		PASI	Psoriasis Area and Severity Index, is a measurement of the discoloration, thickness, scaling, and coverage of psoriasis plaques.	Range: 0-72			true
552	AMP-RA-SLE		program	Name of the funding program that supported the generation of data and associated files	AMP RA/SLE | AMP AIM | Community Contribution			true
553	AMP-RA-SLE		project	A sub-level attribute of `program` specifying a research initiative working to investigate particular hypotheses.	RA | SLE | AIM for RA | STAMP | LOCKIT | V-CoRT | ELLIPSS			true
556	AMP-RA-SLE		VASI	Total body Vitiligo Area Severity Index, a measure of the percentage of vitiligo involvement across the body calculated in terms of hand units.	Range: 0-100; Unit: percentage		percentage	true
557	AMP-RA-SLE		VETI	Vitiligo Extent Tensity Index measures the extent of vitiligo by a numerical score and combines analysis of extensity and severity of vitiligo to produce a constant and reproducible number.	Range: 0-100			true
558	AMP-RA-SLE		VIDA	Vitiligo Disease Activity Score, a six-point scale that evaluates the activity of vitiligo	0-6			true
559	AMP-RA-SLE		vitiligoType	A high-level classification of vitiligo based on the distribution and patterning of lesions across the body.	segmental, non-segmental, mixed, unclassified			true
560	AMP-RA-SLE		weightUnits	Abbreviated unit of measure of value provided for `weight`.	lb | kg | g | oz			true
